customer_id,recency_days,frequency_annual,aov_inr,ltv_inr,discount_code_usage_rate,cart_abandonment_rate,app_channel_weight,web_channel_weight,desktop_channel_weight,social_engagement_score,marketplace_purchase_share,city_tier,browsing_search_interest,ground_truth_segment_id
CUST00001,54,1,1120.0,647.0,0.6299600067532561,0.535920883702492,0.32777977941189956,0.33567370267914887,0.3365465179089516,0.6964797232071769,0.6136745656706915,Metro,"try first order, referral code, influencer recommended, trending",6
CUST00002,47,1,1310.0,1281.0,0.5463075489444933,0.5198637344077273,0.5638552117267883,0.3412337643578411,0.09491102391537067,0.7058375693408674,0.7085346525214864,Tier3,"compare, size guide, return policy",3
CUST00003,10,9,590.0,4196.0,0.7737096680787073,0.38885373573515714,0.6622662400347628,0.33591684959246226,0.0018169103727749788,0.695383194881521,0.784474929784092,Tier2,"lowest price, cashback, clearance",0
CUST00004,75,1,1230.0,2353.0,0.5396022527930164,0.815360496865287,0.5756569620809665,0.24863257181894857,0.1757104661000849,0.7232557887323309,0.3420649261416047,Tier3,"compare, size guide, delivery time, wishlist, cod available",3
CUST00005,10,2,1370.0,1384.0,0.3957638547063712,0.2926034561583923,0.515822931897791,0.23418557505485138,0.2499914930473575,0.7268685500509918,0.22851639658723044,Tier2,"drop alert, oversized fit, hype, kurta",2
CUST00006,59,2,1460.0,3423.0,0.30011764793288914,0.5924337506832017,0.49840892902768197,0.45615130079452293,0.045439770177795095,0.7490478464862316,0.32810236024058864,Metro,"festive, reviews, fit check, cod available, return policy",3
CUST00007,73,1,1340.0,2498.0,0.4523302819903172,0.3914870723376635,0.24208805660663604,0.4223369757041346,0.3355749676892294,0.5581471504569268,0.44355493089590153,Tier3,"try first order, referral code, order history, reels",6
CUST00008,6,8,1090.0,11737.0,0.7503985052021768,0.3042599065002211,0.7278574864594071,0.11201898607678079,0.16012352746381214,0.7961330412828924,0.47411727452597385,Tier2,"cotton, t-shirt, jeans, restock alert",2
CUST00009,11,12,1540.0,30734.0,0.5136427505740561,0.31960380791560006,0.8418195372033354,0.12999503594132125,0.02818542685534348,0.863255845080817,0.26324339003330094,Tier2,"exchange, restock alert, collab, order tracking, hype",2
CUST00010,87,4,3030.0,27738.0,0.40547554510105766,0.35161119337883157,0.33344952501254893,0.3690551558402174,0.2974953191472337,0.4191247587776652,0.594560691373638,Metro,"kurta set, saree, exchange, gifting",5
CUST00011,52,6,1050.0,3961.0,0.4899167069018121,0.683176158583617,0.3646326429636318,0.30361663696599495,0.3317507200703734,0.7212967659757147,0.4329277942467019,Tier2,"drop alert, compare, cod available, kurta",3
CUST00012,20,3,710.0,2920.0,0.6105573736197675,0.08099418641463499,0.6356921277273954,0.19257590792587717,0.17173196434672738,0.6887036940147366,0.5685558211793865,Tier3,"coupon, combo offer, budget, clearance, flat 50% off",0
CUST00013,50,5,4180.0,12179.0,0.0752587234482135,0.28171196686907624,0.3210963175665911,0.3937877022610313,0.28511598017237766,0.27631600990064775,0.05673046656575422,Metro,"designer drop, cotton, capsule collection",1
CUST00014,10,7,480.0,2267.0,0.7913364767309584,0.4494116440289789,0.9490264574857319,0.03416424906276852,0.01680929345149964,0.6807193423408621,0.588823785706371,Tier2,"sale, discount, cotton, coupon, clearance",0
